2018   1  0 2515 51 51  65  39   8.2   5.7 -49.8 287.7   1.1  -3.5  -4.3  -2.2  -5.1   0.6   5.8   2.0   4.7   2.7   94347.  13.7  381.  -1.8  -5.6 0.019  3.57   15945.   0.9    8.   1.2   1.6 0.005   1.94   1.89   8.6 33   0    -5  330 999999.99 99999.99 99999.99     0.24     0.14     0.11 -1  18  66.8 999.9  -205   125  5.3
2018   1  1 2515 51 51  56  35  10.8  10.4 -45.0  36.5   5.9   4.4  -7.3   6.1  -6.0   0.6   3.1   1.0   2.2   1.9   86954.  16.8  406.  -2.4  -4.4 0.017  4.94    6928.   1.3    3.   0.6   0.7 0.002   2.44   1.29   7.7 33   0    -7  370 999999.99 99999.99 99999.99     0.25     0.15     0.11 -1  18  66.8 999.9  -243   127  5.3
2018   1  2 2515 51 51  57  33  10.0   8.9 -12.7  82.9   1.1   8.7  -2.0   8.9   0.1   0.5   4.4   3.6   1.2   2.2   77863.  17.4  393.  -4.1  -4.7 0.017  4.79   14911.   1.2    8.   1.0   1.1 0.002  -0.04   1.49   8.2 33   0   -13  349 999999.99 99999.99 99999.99     0.22     0.14     0.10 -1  18  66.8 999.9  -254    95  5.4
2018   1  3 2515 51 51  61  37  10.9   9.8 -23.1  76.4   2.1   8.7  -3.8   9.3  -2.0   0.6   4.6   2.5   1.9   3.3   65130.  22.6  397.  -4.7  -5.5 0.015  6.31   11548.   1.7    7.   1.4   1.1 0.002   0.79   1.53   8.7 37   0    -9  395 999999.99 99999.99 99999.99     0.22     0.14     0.11 -1  22  66.8 999.9  -221   174  5.7
2018   1  4 2515 51 51  66  38  11.0   3.4  51.1 231.4  -1.3  -1.6   2.6  -2.1   2.3   1.8  10.5   5.1   5.4   7.4  150021.  19.2  417.   3.1  -5.9 0.022  6.07   75014.   5.0   12.   2.9   2.2 0.008  -0.96   1.84   8.3 37   0   -12  225 999999.99 99999.99 99999.99     0.21     0.14     0.10 -1  22  66.8 999.9  -108   117  5.2
2018   1  5 2515 51 51  59  34   8.3   5.3 -29.7  21.2   4.3   1.7  -2.6   1.9  -2.4   1.3   6.4   4.5   3.7   2.8  233495.   9.8  444.   4.6  -3.1 0.030  3.61   52380.   1.0   14.   0.9   1.4 0.007   1.07   2.14   8.4 37   0   -18  180 999999.99 99999.99 99999.99     0.23     0.15     0.10 -1  22  66.8 999.9  -145    34  5.0
2018   1  6 2515 51 51  60  37   6.1   4.5   5.3 138.2  -3.3   3.0   0.4   3.0   0.5   1.0   4.2   1.8   3.5   1.4  219294.   9.3  429.   6.6  -3.4 0.037  3.28   25994.   0.8    7.   0.8   0.4 0.004  -0.21   3.61  10.7 23   0   -20  123 999999.99 99999.99 99999.99     0.21     0.14     0.10 -1   9  66.8 999.9   -99    24  5.3
2018   1  7 2515 51 51  61  37   6.8   6.2 -11.1 123.0  -3.3   5.1  -1.2   5.1  -1.2   0.7   2.6   1.2   1.0   2.1  217254.   9.0  436.   5.7  -3.4 0.036  3.27   15915.   0.7    8.   0.6   1.0 0.004   0.52   2.80   9.6 23   0   -20  131 999999.99 99999.99 99999.99     0.24     0.14     0.10 -1   9  66.8 999.9   -85    46  5.2
2018   1  8 2515 51 51  60  37   7.8   7.2   0.9 115.6  -3.1   6.5   0.1   6.5  -0.2   0.6   2.9   1.4   0.7   2.4  195279.   7.7  445.   4.8  -2.7 0.039  2.94   14664.   0.6    4.   0.8   1.0 0.008   0.09   1.70   7.9 23   0   -17  284 999999.99 99999.99 99999.99     0.23     0.14     0.11 -1   9  66.8 999.9  -216    68  5.0
2018   1  9 2515 51 51  57  34   7.7   6.8   1.4 127.8  -4.2   5.4   0.2   5.4  -0.2   0.3   3.5   1.8   0.8   2.8  165180.   7.8  434.   5.9  -3.8 0.056  3.00   29645.   0.5    8.   1.1   1.8 0.011   0.09   1.61   7.9 23   0   -18  441 999999.99 99999.99 99999.99     0.24     0.13     0.10 -1   9  66.8 999.9  -332   109  5.1
2018   1 10 2515 51 51  61  37   7.0   6.7  -2.1 148.1  -5.7   3.5  -0.2   3.5  -0.6   0.3   2.0   1.0   0.7   1.6  163897.   7.2  429.   6.7  -4.0 0.058  2.73   28035.   0.5    5.   1.1   1.7 0.007   0.26   1.79   8.2 23   0   -16  220 999999.99 99999.99 99999.99     0.24     0.14     0.10 -1   9  66.8 999.9  -179    41  5.2
2018   1 11 2515 51 51  61  36   6.2   5.9 -13.1 130.2  -3.7   4.4  -1.3   4.2  -1.8   0.4   1.8   0.8   0.7   1.4  169387.   6.1  428.   6.0  -2.1 0.055  2.28   37582.   0.4    4.   1.3   1.2 0.008   0.77   1.97   8.5 23   0   -12  134 999999.99 99999.99 99999.99     0.24     0.14     0.10 -1   9  66.8 999.9   -94    40  5.2
2018   1 12 2515 51 51  59  36   6.8   6.6 -14.5 127.3  -3.9   5.1  -1.7   4.9  -2.1   0.2   1.5   0.9   0.6   1.0  119179.   5.8  439.   6.6  -2.7 0.042  2.18   19461.   0.4    3.   1.0   0.7 0.006   0.92   1.29   7.8 27   0    -9  239 999999.99 99999.99 99999.99     0.21     0.14     0.10 -1  12  66.8 999.9  -213    26  5.3
2018   1 13 2515 51 51  62  38   6.6   6.5 -19.9 130.4  -3.9   4.6  -2.2   4.5  -2.6   0.1   1.3   0.5   0.7   0.9   98373.   5.6  440.   7.9  -3.1 0.033  2.05   16293.   0.5    4.   0.6   0.8 0.003   1.14   1.21   7.9 27   0    -9  479 999999.99 99999.99 99999.99     0.24     0.14     0.09 -1  12  66.8 999.9  -429    51  5.5
