"B","corr",0.81
"FL","corr",0.76
"OM","corr",0.87
"W","corr",0.88
"TL","corr",0.94
"NM","corr",0.87
"B","rmse",49.7
"FL","rmse",47.0
"OM","rmse",24.8
"W","rmse",21.4
"TL","rmse",14.8
"NM","rmse",23.4
"B","deltaDstMin",66.5
"FL","deltaDstMin",59.8
"OM","deltaDstMin",21.0
"W","deltaDstMin",9.9
"TL","deltaDstMin",7.7
"NM","deltaDstMin",8.8
"B","deltaT",2.0
"FL","deltaT",3.1
"OM","deltaT",2.1
"W","deltaT",2.0
"TL","deltaT",1.5
"NM","deltaT",2.6


